Name,Locked,Org,Status,Type,Water,Compost,Features,Seasonal,Animals,Address,Food Producing,Com_Gard,Dormant,Latitude,Longitude,Address,Ownership,Oth_org,Website,Facebook,Fenced,Descript,Ward,CCA,Contact,Image,City
Morganway Community Garden,Yes,,Allotment,Community Garden,On site water source,,,,,7844 S Morgan St,Yes,,No,41.751046,-87.6492449,7844 S Morgan St,NeighborSpace,,http://www.gagdc.org/Our-community/Partnerships/Morganway-Community-Garden-and-Park-There-is-no-Unity-Without-Community.html,,Yes,,17,AUBURN GRESHAM,,,Chicago
Mount Greenwood Children's Garden,,U of I Extension,,"Community Garden, Demo / Training / Program",,,,,,3807 W 111th St,No,,No,41.6913136,-87.7161221,3807 W 111th St,Chicago Park District,,https://communitygarden.org/find-a-garden/gardens/mt-greenwood-childrens-garden/,,,The Mt. Greenwood Children's Garden provides therapeutic and educational opportunities for youth and adults from the Mt. Greenwood Park's Special Recreation program. The garden consists of ten brightly colored raised beds and a flower and vegetable bed planted and maintained by the youth.,19,MOUNT GREENWOOD,,https://communitygarden.org/wp-content/uploads/2013/12/image_16321-550x412.jpg,Chicago
Mozart Garden,,,,Community Garden,,,,,,6200 S Stewart Ave,No,,Yes,41.7817693,-87.635111,6200 S Stewart Ave,,,,,,,20,ENGLEWOOD,,,Chicago
Mozart's Community Garden,No,,Unclear,Community Garden,"Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area",,,876 N Mozart St,Yes,,No,41.897943,-87.698333,876 N Mozart St,NeighborSpace,,http://neighbor-space.org/2013/06/06/mozarts-community-garden/,https://www.facebook.com/groups/MozartsGarden/,Yes,"Mozart?s Community Garden is a neighborhood community garden in the beginning stages. Its mission is to serve the community in the southeast corner of Humboldt Park. It?s a collaboration by neighbors seeking to bring more community space to the area, growing their own food in a food desert, beautifying the area, and growing as a community. The garden?s location is on an abandoned CHA lot at the corner of Mozart and Walton Avenue which has been vacant for over 16 years. The vision of this garden is a children?s garden where children can grow their own sunflowers, sugar snap peas, and bean teepees. Gardeners will provide instruction on water conservation, composting, plant care, nutrition, and cooking with fresh produce.

Cultural activities will involve art instruction and entertainment to be provided by neighborhood artists such as musicians and professional potters. In order to engage a broader community, the gardeners hope to install raised beds with seating for neighbors who are elderly and disabled.",26,WEST TOWN,,,Chicago
Mr. Keeler's Pumpkin Eater's,Yes,,Collective,"Community Garden, Ornamental / Beautification, Habitat / Conservation / Prairie","Rain collection system ( rain barrels, cisterns)",Yes,"Compost System, Seating Area, Shed / Storage box, Teaching Area",,,4168 W 25th St,Yes,,No,41.846272,-87.728888,4168 W 25th St,,Enlace,http://enlacechicago.org/programs-page/community-economic-development/placemaking/greenspace-and-pocket-parks/mr-keelers-pumpkin-eaters-25th-and-keeler/,http://enlacechicago.org/,Yes,,22,SOUTH LAWNDALE,,,Chicago
Mt Hope Missionary Baptist Church Garden,,,,Community Garden,,,,,,6034 S Princeton Ave,No,,No,41.7843775,-87.6327528,6034 S Princeton Ave,,,,,,,20,ENGLEWOOD,,,Chicago
NDN - West Haven Park Community Garden,Yes,,"Allotment, Collective","Community Garden, (Assisted) Housing, Ornamental / Beautification","On site water source, Irrigation System",,"Compost System, Seating Area, Handicap accessible bed, Artwork / Sculptures",,,104 Wood St,Yes,,No,41.8800188,-87.6717183,104 Wood St,,,,,Yes,,2,NEAR WEST SIDE,,,Chicago
New Horizons Community Garden,Yes,,Unclear,Community Garden,No apparent water source,,,,,1750 W 18th Pl,Yes,,No,41.8569213,-87.6708817,1750 W 18th Pl,,,,,Yes,,25,LOWER WEST SIDE,,,Chicago
New Horizons Garden,No,,Collective,"Community Garden, Food Donation, Congregation Garden","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Seating Area, Play Area, Performance Area, Educational Signage",,,401 S Central Park Blvd,Yes,,No,41.8753996,-87.7156868,401 S Central Park Blvd,,First Church of the Bretheren,,,Yes,,28,EAST GARFIELD PARK,,,Chicago
Nichols Park,No,,Collective,Community Garden,,,"Compost System, Seating Area",,Bees (hives),5807 S Kenwood Ave,Yes,,No,41.7895314,-87.5931547,5807 S Kenwood Ave,", , Chicago Park District",,www.chicagoparkdistrict.com,,Yes,,5,HYDE PARK,,,Chicago
North Park Village Garden Club,No,Other,Allotment,Community Garden,On site water source,Yes,"Compost System, Seating Area, Shed / Storage box, Information Kiosk",,Bees (hives),5801 N Pulaski Rd,Yes,Yes,No,41.9857867,-87.7227427,5801 N Pulaski Rd,City of Chicago,North Park Village,,https://www.facebook.com/NorthParkVillageGardenClub,Yes,"One of the oldest and largest Community Gardens in Chicago. Residents of Chicago are eligible to join. Allotment Style Garden leased and managed by the North Park Village Garden Club, an Illinois non-profit. The garden is located in the North Park Village complex at 5801 N Pulaksi, across from the North Park Village Senior Apartments and next to the North Park Village Apartments Senior Garden. 

To use a plot a registration fee must be paid and attendance to two Garden Club meetings are required. The space includes on-site composting, gardening tools, on-site water, as well as a storage shed. Garden plots must show signs of use by May 15 and show signs of being planted (seed and/or plants) by the First Sunday of June. A minimum four different vegetable types must be grown.  The season ends the last Saturday in October.

Please direct membership inquiries to NPVGC, PO box 59224, Chicago IL 60659",39,NORTH PARK,"Betsy Elsaesser - President - Garden Club: betsye@oakton.edu ~ Please direct membership inquiries to NPVGC, PO box 59224, Chicago IL 60659",,Chicago
Old Town Community Garden,Yes,,Allotment,Community Garden,"Rain collection system ( rain barrels, cisterns)",,,,,1423 N Orleans St,Yes,,No,41.908352,-87.637241,1423 N Orleans St,,,http://oldtowngardenschicago.com/,,Yes,,27,NEAR NORTH SIDE,,,Chicago
Olive's Neighborhood Garden/Garden for the Hungry,Yes,,Collective,"Community Garden, Pantry Garden, Ornamental / Beautification","City Fire Hydrant, Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures, Water Management, Educational Signage, Information Kiosk",,,4895 N Laramie Ave,Yes,,No,41.9696538,-87.7575606,4895 N Laramie Ave,NeighborSpace,"Boy Scouts of America -  Boy Scout Troop 840,Jefferson Park Community Association",,https://www.facebook.com/OlivesNeighborhoodGarden,Yes,,45,JEFFERSON PARK,,,Chicago
One Straw Garden,No,,Collective,"Community Garden, Orchard",No apparent water source,,"Compost System, Water Management",,,3337 W Douglas Blvd,Yes,,No,41.862135,-87.709395,3337 W Douglas Blvd,,,,,No,,24,NORTH LAWNDALE,,,Chicago
Operation Brotherhood Serenity Garden,Yes,,Collective,Community Garden,,,,,,3745 W Ogden Ave,No,,Yes,41.8527,-87.719026,3745 W Ogden Ave,,Operation Brotherhood,,,Yes,,24,NORTH LAWNDALE,,,Chicago
Organic Faith Community,No,,Collective,"Community Garden, Food Donation, Congregation Garden","On site water source, Rain collection system ( rain barrels, cisterns)",,"Compost System, Grill / Cooking Station, Seating Area, Shed / Storage box",,,4300 N Hermitage Ave,Yes,,No,41.9599578,-87.6726341,4300 N Hermitage Ave,,,http://www.ravenswoodpresbyterian.org/,https://www.facebook.com/pages/Organic-Faith-Community-Garden/475174599218835,Yes,,47,LAKE VIEW,Ravenswood Presbyterian Church (773) 281-8172,,Chicago
Our Block Community Garden,Yes,,Collective,"Community Garden, Ornamental / Beautification",Hose connected to private property,,"Compost System, Seating Area, Shed / Storage box, Water Management",,,1500 N Washtenaw Ave,Yes,,No,41.90854,-87.694838,1500 N Washtenaw Ave,,Bickerdike Redevelopment Corporation,http://www.bickerdike.org/,https://www.facebook.com/BickerdikeRC?rf=187236264656405,Yes,,26,WEST TOWN,,,Chicago
Paradise Garden,Yes,,Collective,Community Garden,On site water source,,"Compost System, Seating Area, Information Kiosk",,,658 N Latrobe Ave,Yes,,No,41.892849,-87.7571,658 N Latrobe Ave,NeighborSpace,,http://neighbor-space.org/2011/05/20/paradise-garden/,,Yes,,28,AUSTIN,,,Chicago
Park Shore East/Hyde Park Academy Environmental Studies Nature Park,Yes,,Collective,"Community Garden, School Garden, (Assisted) Housing",Hose connected to private property,,"Seating Area, Shed / Storage box",Hoop house,,6287 S Harper Ave,Yes,,No,41.7808737,-87.5878032,6287 S Harper Ave,,,,,Yes,,5,WOODLAWN,,,Chicago
Passion of Pullman Organic Garden,No,,Collective,"Community Garden, Pantry Garden, Ornamental / Beautification",Hose connected to private property,,Compost System,,,10701 S Champlain Ave,Yes,,No,41.700089,-87.6073022,10701 S Champlain Ave,,,http://thehouseofchloeinc.org/,,No,,9,PULLMAN,,,Chicago
Rosie's Peace in the Valley Garden,No,,Collective,Community Garden,On site water source,,,,,168 N Laramie Ave,Yes,,No,41.884384,-87.7555749,168 N Laramie Ave,NeighborSpace,,http://neighbor-space.org/2012/06/17/peace-in-the-valley-garden/,,Yes,,28,AUSTIN,,,Chicago
Polish Gentleman Farmer,No,,Collective,"Community Garden, Single-tender Garden",Hose connected to private property,,,,,2936 W 5th Ave,Yes,,No,41.8800508,-87.699998,2936 W 5th Ave,,,,,No,,2,EAST GARFIELD PARK,,,Chicago
Precious Blood CG/Peace Garden,Yes,,"Allotment, Collective","Community Garden, Congregation Garden, School Garden, Demo / Training / Program",Hose connected to private property,,"Seating Area, Handicap accessible bed",,,1245 W 51st Street,Yes,,No,41.801164,-87.6567,1245 W 51st Street,,,,,Yes,,16,NEW CITY,,,Chicago
preServe Garden,No,,Collective,"Food Donation, Demo / Training / Program",No apparent water source,,"Compost System, Information Kiosk",,,1231 S Central Park,Yes,,No,41.865281,-87.715038,1231 S Central Park,NeighborSpace,"North Lawndale Greening Committee,Chicago Honey Coop,Slow Food Chicago",http://neighbor-space.org/2012/06/23/preserve-garden/,,Yes,,24,NORTH LAWNDALE,,,Chicago
Puerto Rican Cultural Center Garden,Yes,,Collective,"Community Garden, Demo / Training / Program",No apparent water source,,Seating Area,,,2425 West North Ave,Yes,,No,41.909997,-87.688284,2425 West North Ave,,Puerto Rican Cultural Center,http://prcc-chgo.org/,,Yes,,1,WEST TOWN,,,Chicago
Pullman Urban Gardens,Yes,,"Allotment, Collective","Community Garden, Ornamental / Beautification","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Seating Area",,Bees (hives),11057 S Cottage Grove Ave,Yes,,No,41.693332,-87.6097084,11057 S Cottage Grove Ave,,,http://www.hpgc.org/,,Yes,,9,PULLMAN,,,Chicago
The Cooperation Operation,No,,Collective,"Community Garden, Ornamental / Beautification, Demo / Training / Program, Food Donation, Habitat / Conservation / Prairie, Urban Agriculture Organization, Pantry Garden","City Fire Hydrant, Hose connected to private property",Yes,"Compost System, Grill / Cooking Station, Fire Pit, Seating Area, Artwork / Sculptures, Handicap accessible bed, Play Area, Teaching Area, Washing Area / Sinks, Shed / Storage box","Cold Frame, Hoop house",Bees (hives),"657 E 114th St, Chicago, IL 60628, USA",Yes,Yes,No,41.68641,-87.60612,"657 E 114th St, Chicago, IL 60628, USA",City of Chicago,Cooperation Operation,cooperationoperation.org,https://www.facebook.com/pages/The-Cooperation-Operation/601185756574486,Yes,,9,PULLMAN,,,Chicago
Race Garden/Race & Pine BC AUSTIN,No,,"Allotment, Collective, Unclear",Community Garden,On site water source,,Compost System,,,5422 West Race Ave,Yes,,No,41.8900038,-87.7611764,5422 West Race Ave,,,,,Yes,,37,AUSTIN,,,Chicago
Rainbow Beach Victory Garden,Yes,,Allotment,"Community Garden, Ornamental / Beautification",On site water source,,"Compost System, Grill / Cooking Station, Seating Area, Shed / Storage box, Water Feature (ponds, fountain), Covered Area, Information Kiosk",,,7900 S South Shore Drive,Yes,,No,41.751717,-87.548353,7900 S South Shore Drive,Chicago Park District,,http://rbvg7900.wix.com/rbvg7900,,Yes,,7,SOUTH CHICAGO,,,Chicago
Redbrick Townhome Association,No,,Allotment,,"Rain collection system ( rain barrels, cisterns)",,,,,1216 E 48th St,Yes,,No,41.808017,-87.5961,1216 E 48th St,,,,,No,,4,KENWOOD,,,Chicago
Weiss Memorial Hospital Rooftop Farm & Garden,No,,Allotment,"Community Garden, Rooftop, Urban Farm","Rain collection system ( rain barrels, cisterns)",Yes,"Compost System, Washing Area / Sinks, Seating Area, Shed / Storage box, Educational Signage, Covered Area","Cold Frame, Hoop house","Bees (hives), Chickens",4650 N Clarendon Ave,Yes,Yes,No,41.9668902,-87.6506322,4650 N Clarendon Ave,Private,Loud Grade Produce Squad,http://loudgradeproducesquad.org/category/locations/chicago/weiss-rooftop-garden,https://www.facebook.com/LoudGradePS,No,"Built atop the parking garage of the Weiss Memorial Hospital, this garden was created to grow organic vegetables for the Uptown Farmer's Market to provide fresh produce for a fair price to Uptown residents and create a green space for their campus. With overwhelming support from the community, the project took off and quickly grew to include what is now raised beds and planters, a community composting program, a rainwater collection system, an apiary, and a chicken coop. If you?d like to join us on the rooftop, please email us for information. For just $1 per square foot of space ($50 for a raised bed), we provide soil, compost, and access to tools and water. You just gotta bring the seeds!",46,UPTOWN,info@loudgradeproducesquad.org,http://static1.squarespace.com/static/520bb2cfe4b02fa8656c2360/521d052ae4b02858a1a1c252/521d06a4e4b015bfa4a638d9/1377633977083/IMG_0924.JPG,Chicago
Root Riot Harambe (Frederick Douglass Academy High School),Yes,,Unclear,"Community Garden, School Garden",On site water source,,"Compost System, Seating Area",,"Bees (hives), Goats",500 N Waller Ave,Yes,,No,41.8890742,-87.7677311,500 N Waller Ave,,"Root Riot Urban Garden Network, Frederick Douglass Academy High School",http://www.root-riot.com/,https://www.facebook.com/RootRiot?fref=ts,Yes,,29,AUSTIN,,http://rootriot.files.wordpress.com/2010/06/dsc_2370.jpg,Chicago
La Huerta Roots and Rays,No,NeighborSpace,"Allotment, Collective","Community Garden, Food Donation, Ornamental / Beautification, Habitat / Conservation / Prairie","City Fire Hydrant, Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Grill / Cooking Station, Seating Area, Play Area, Shed / Storage box",Cold Frame,Bees (hives),1513 W Cullerton St,Yes,,No,41.855077,-87.6640848,1513 W Cullerton St,NeighborSpace,,raizesyrayos.wordpress.com,https://www.facebook.com/groups/342074210953/,No,,25,LOWER WEST SIDE,Sam Kohn skohn9@gmail.com,,Chicago
Roots Community Garden,No,,Collective,Community Garden,No apparent water source,,"Compost System, Seating Area",,,3465 W Fulton Blvd,Yes,,No,41.8863,-87.7134423,3465 W Fulton Blvd,,Inspiration Kitchens,http://www.inspirationkitchens.org/,https://www.facebook.com/InspirationKitchens,No,,28,EAST GARFIELD PARK,,,Chicago
Roseland Community Development Corporation,Yes,,Collective,Demo / Training / Program,Hose connected to private property,,"Compost System, Farm Stand, Seating Area, Shed / Storage box, Covered Area",,Fish,11409 S Michigan Ave,Yes,,No,41.686737,-87.620533,11409 S Michigan Ave,,RCDC Roseland Community Development Corporation,,,Yes,,9,ROSELAND,,,Chicago
Roseland Community Peace Garden,Yes,,Collective,"Community Garden, Food Donation",Hose connected to private property,,"Compost System, Seating Area",,,10356 S Wabash Ave,Yes,,No,41.705484,-87.622618,10356 S Wabash Ave,,,,,Yes,,9,ROSELAND,,,Chicago
Rowan Trees,Yes,,Collective,Community Garden,Hose connected to private property,,"Compost System, Artwork / Sculptures",,,535 W Englewood Ave,Yes,,No,41.780515,-87.638902,535 W Englewood Ave,,,,,Yes,,20,ENGLEWOOD,,,Chicago
RTW Vet Center Garden,No,,Collective,"Community Garden, Food Donation, (Assisted) Housing, Demo / Training / Program",Hose connected to private property,,,,,5532 S Dr Martin Luther King Jr Dr,Yes,,No,41.7937613,-87.6159637,5532 S Dr Martin Luther King Jr Dr,,,,,No,,20,WASHINGTON PARK,,,Chicago
Ruby Garden,No,,"Allotment, Collective","Community Garden, Food Donation, Ornamental / Beautification, Demo / Training / Program",On site water source,,"Compost System, Seating Area, Shed / Storage box",Cold Frame,,1552 W Schreiber Ave,Yes,,No,41.9990158,-87.6692973,1552 W Schreiber Ave,Chicago Park District,The Marjorie Kovler Center,http://www.therubygarden.com/,https://www.facebook.com/therubygarden?ref=br_tf,Yes,,40,ROGERS PARK,,,Chicago
Sankofa House Community Garden,Yes,,Collective,"Community Garden, (Assisted) Housing",Hose connected to private property,,Seating Area,,,4041 W Roosevelt Rd,Yes,,No,41.8659232,-87.7269158,4041 W Roosevelt Rd,,Sankofa House,http://sankofasafechild.org/cms/sankofa-house,,Yes,,24,NORTH LAWNDALE,,,Chicago
Senior Garden Plots,No,,Allotment,"Community Garden, (Assisted) Housing","Rain collection system ( rain barrels, cisterns)",,"Seating Area, Shed / Storage box, Covered Area",,,1783 W Peterson Ave,Yes,,No,41.9907052,-87.6747956,1783 W Peterson Ave,,,,,No,,40,LINCOLN SQUARE,,,Chicago
Senn Unity Garden,No,,Allotment,Community Garden,On site water source,,"Compost System, Seating Area, Artwork / Sculptures, Covered Area, Information Kiosk",,,1519 W Thorndale Ave,Yes,,No,41.98968,-87.667957,1519 W Thorndale Ave,Chicago Park District,,http://www.chicagoparkdistrict.com/facilities/community-gardens/,,No,,48,EDGEWATER,,,Chicago
Skinner Park/Skinner West Elementary School,No,,Collective,"Community Garden, Ornamental / Beautification, Demo / Training / Program",No apparent water source,,"Seating Area, Teaching Area, Covered Area",,,1295 W Monroe St,Yes,,No,41.8802681,-87.6593965,1295 W Monroe St,,,,,Yes,,27,NEAR WEST SIDE,,,Chicago
Slumbusters Garden,Yes,,Allotment,"Community Garden, Ornamental / Beautification",Hose connected to private property,,"Compost System, Seating Area, Artwork / Sculptures",,,1960 S Trumbull Ave,Yes,,No,41.853877,-87.711544,1960 S Trumbull Ave,,,,,Yes,,24,NORTH LAWNDALE,,,Chicago
Snowberry Playlot Park/Green Growers Children's Garden,No,,Collective,Community Garden,"On site water source, Rain collection system ( rain barrels, cisterns)",,Compost System,,,1851 W Huron St,Yes,,No,41.8941259,-87.6741127,1851 W Huron St,Chicago Park District,,http://www.chicagoparkdistrict.com/parks/Snowberry-Playlot-Park/,,Yes,,1,WEST TOWN,,,Chicago
Sofia's Garden,Yes,,,,,,,,,2614 W Evergreen Ave,No,,No,41.905966,-87.692712,2614 W Evergreen Ave,,,,,Yes,,26,WEST TOWN,,,Chicago
South Merrill Community Garden,No,,Collective,"Community Garden, Congregation Garden",On site water source,Yes,"Compost System, Information Kiosk",,,7032 S Merrill Ave,Yes,Yes,No,41.7672118,-87.5726791,7032 S Merrill Ave,NeighborSpace,,http://neighbor-space.org/2012/06/23/southmerrill/,,Yes,,5,SOUTH SHORE,,,Chicago
St James Catholic Church Garden,Yes,,Allotment,Congregation Garden,Hose connected to private property,,"Seating Area, Play Area",,,2962 S Wabash Ave,Yes,,No,41.8403202,-87.625204,2962 S Wabash Ave,,,,,Yes,,2,DOUGLAS,,,Chicago
St Paul and the Redeemer,No,,Collective,"Community Garden, Pantry Garden, Congregation Garden",Hose connected to private property,,Seating Area,,,4945 S Dorchester Ave,Yes,,No,41.8044659,-87.5914815,4945 S Dorchester Ave,,,,,No,,4,KENWOOD,,,Chicago
St Stephens Lutheran Church,No,,Collective,"Community Garden, Pantry Garden, Congregation Garden","On site water source, Rain collection system ( rain barrels, cisterns)",,"Compost System, Seating Area",,,8500 S Maryland Ave,Yes,,No,41.7402645,-87.6037278,8500 S Maryland Ave,,,,,Yes,,8,CHATHAM,,,Chicago
St. Scholastica,No,,Unclear,"Community Garden, Congregation Garden",On site water source,,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures",,,7494 N Ridge Ave,Yes,,No,41.9979419,-87.6768465,7494 N Ridge Ave,,,,,Yes,,50,WEST RIDGE,,,Chicago
St. Thomas the Apostle,,,,Community Garden,,,,,,5467 S Woodlawn Ave,No,,No,41.7960338,-87.5965445,5467 S Woodlawn Ave,,,http://www.stapostleschool.com/,,,,4,HYDE PARK,,,Chicago
Super Block Park,Yes,,Collective,Community Garden,On site water source,,Grill / Cooking Station,,,815 N Harding Ave,Yes,,No,41.895928,-87.72452,815 N Harding Ave,NeighborSpace,,http://neighbor-space.org/2012/06/23/super-block-park/,,Yes,,27,HUMBOLDT PARK,,,Chicago
Tarkington Elementary School of Excellence Garden Club,No,,Collective,"Community Garden, School Garden, Habitat / Conservation / Prairie, Ornamental / Beautification",Hose connected to private property,,"Compost System, Seating Area, Shed / Storage box, Teaching Area, Gazebo, Information Kiosk",Greenhouse,,3330 W 71st St,Yes,,No,41.7646185,-87.7063803,3330 W 71st St,,Tarkington School of Excellence,,,No,,18,CHICAGO LAWN,,,Chicago
Taylor St Farms,No,,Allotment,"Community Garden, Ornamental / Beautification","On site water source, Rain collection system ( rain barrels, cisterns)",,"Compost System, Grill / Cooking Station, Fire Pit, Seating Area, Shed / Storage box, Educational Signage, Covered Area, Information Kiosk","Cold Tunnel, Hoop house",,934 S Ada St,Yes,,No,41.8699781,-87.660139,934 S Ada St,,,http://taylorstreetfarm.org/,https://www.facebook.com/groups/110136592353330/,Yes,,25,NEAR WEST SIDE,,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/s843x403/903479_377590432354983_1050605596_o.jpg,Chicago
Telpochcalli Community Fine Arts School,No,,Collective,"Community Garden, School Garden",City Fire Hydrant,,"Compost System, Seating Area, Shed / Storage box",,,2850 W 24th Blvd,Yes,,No,41.8478891,-87.6953811,2850 W 24th Blvd,,Esperanza Health Center,http://www.esperanzachicago.org/what-we-do/,https://www.facebook.com/esperanzahealthcenters,Yes,,12,SOUTH LAWNDALE,,,Chicago
The 46th St Community Garden,No,,Unclear,"Community Garden, Ornamental / Beautification",No apparent water source,,"Compost System, Seating Area",,,427 E 46th St,Yes,,No,41.8111945,-87.61528,427 E 46th St,,,,,No,,3,GRAND BOULEVARD,,,Chicago
The Building Group Apartment,Yes,,Allotment,Ornamental / Beautification,On site water source,,"Grill / Cooking Station, Seating Area, Play Area",,,5844 S Stony Island Ave,Yes,,No,41.7886093,-87.5866792,5844 S Stony Island Ave,,,,,Yes,,5,HYDE PARK,,,Chicago
The Gan Project,No,,Collective,"Community Garden, Pantry Garden, Demo / Training / Program","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Seating Area, Shed / Storage box, Handicap accessible bed, Water Feature (ponds, fountain), Information Kiosk",Cold Frame,Chickens,3003 W Touhy Ave,Yes,,No,42.0115369,-87.705141,3003 W Touhy Ave,,The Gan Project,http://dev2.theganproject.org/,https://www.facebook.com/pages/The-Gan-Project/108898809150347?ref=br_tf,No,,50,WEST RIDGE,,,Chicago
The Jean Carter Hill Community Garden,,,,Community Garden,,,,,,6006 S Peoria St,No,,Yes,41.7845981,-87.6476722,6006 S Peoria St,,,,,,,16,ENGLEWOOD,,,Chicago
The Renaissance Organic Community Garden,No,,Collective,(Assisted) Housing,On site water source,,"Compost System, Grill / Cooking Station, Seating Area",,,3757 S Wabash Ave,Yes,,No,41.8256981,-87.6248307,3757 S Wabash Ave,,,http://www.trcwabash.org,,Yes,,3,DOUGLAS,,,Chicago
Victory Garden,No,NeighborSpace,"Collective, Collective, Unclear","Community Garden, Community Garden, School Garden",On site water source,No,"Information Kiosk, Information Kiosk, Seating Area",,,8911 S Exchange Ave,Yes,Yes,No,41.7332759,-87.552306,8911 S Exchange Ave,NeighborSpace,,,,Yes,This garden is used by community members to grow food and plant flowers. The garden is also used by the local school children as part of their curriculum. There are 10 raised beds for growing food.,10,SOUTH CHICAGO,Centro Comunitario Juan Diego phone:  (773) 731-0109,https://drive.google.com/file/d/0BzskY8s1Nc8kMTdEWXNrNmZPNkE/view?usp=sharing,Chicago
Third Unitarian Church Community Garden,Yes,,"Allotment, Collective","Community Garden, Pantry Garden, Congregation Garden","On site water source, Hose connected to private property",,"Compost System, Seating Area, Electricity Outlet",,,301 N Mayfield Ave,Yes,,No,41.8858665,-87.7715556,301 N Mayfield Ave,,,http://www.thirdunitarianchurch.org/,,Yes,,29,AUSTIN,,,Chicago
Thomas St. Community Garden,Yes,,Allotment,Community Garden,On site water source,,"Compost System, Seating Area, Water Management",,Bees (hives),2655 W Thomas St,Yes,,No,41.90087,-87.694001,2655 W Thomas St,NeighborSpace,,http://neighbor-space.org/2012/06/23/thomas-street-community-garden/,,Yes,,1,WEST TOWN,,,Chicago
Thorndale Community Garden,,,,Community Garden,,,,,,1506 W Thorndale Ave,No,,No,41.990187,-87.667862,1506 W Thorndale Ave,Chicago Park District,,http://www.chicagoparkdistrict.com/facilities/community-gardens/,,,,48,EDGEWATER,,,Chicago
Three Brothers Garden,No,,Collective,"Community Garden, Pantry Garden, Congregation Garden, Ornamental / Beautification",On site water source,,"Compost System, Seating Area, Shed / Storage box, Covered Area",,,3938 W Belle Plaine Ave,Yes,,No,41.9556362,-87.7266604,3938 W Belle Plaine Ave,,"Carlson Community Services,Irving Park Community Food Pantry",,,Yes,,39,IRVING PARK,,,Chicago
Timuel D Black Edible Arts Garden,No,,Collective,"Community Garden, Ornamental / Beautification, Demo / Training / Program",Hose connected to private property,,"Seating Area, Covered Area",,,5710 Woodlawn Ave,Yes,,No,41.7910098,-87.5964657,5710 Woodlawn Ave,,University of Chicago,,,No,,5,HYDE PARK,,,Chicago
TUCC George Washington Carver Garden,Yes,,Collective,"Community Garden, Congregation Garden","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Seating Area, Shed / Storage box, Educational Signage",,,443 W 95th St,Yes,,No,41.721289,-87.63448,443 W 95th St,,,www.trinitychicagoblog.org,,Yes,,21,WASHINGTON HEIGHTS,,,Chicago
Turtle Park and Garden,Yes,,Unclear,"Community Garden, Ornamental / Beautification",On site water source,,"Seating Area, Gazebo",,,4900 N Troy St,Yes,,No,41.970419,-87.707649,4900 N Troy St,NeighborSpace,,http://neighbor-space.org/2011/05/20/turtle-park-and-garden/,,Yes,,33,ALBANY PARK,,,Chicago
Ujima Garden,Yes,,Collective,Community Garden,Hose connected to private property,,"Seating Area, Shed / Storage box, Covered Area",,,545 N Central Park Ave,Yes,,No,41.891628,-87.715834,545 N Central Park Ave,NeighborSpace,Cobb Connection,,https://www.facebook.com/pages/Cob-Connection/66321102270,Yes,,27,HUMBOLDT PARK,,,Chicago
UPrising Garden,No,,Collective,"Community Garden, Ornamental / Beautification",Hose connected to private property,,"Compost System, Grill / Cooking Station, Seating Area",,,3742 W 28th St,Yes,,No,41.8406738,-87.7185609,3742 W 28th St,,CLOCC,http://www.universidadpopular.us/,https://www.facebook.com/UPLatinCenter,Yes,,22,SOUTH LAWNDALE,,,Chicago
Dunne Tech Urban Mini Farm,No,Other,Collective,"Community Garden, School Garden, Demo / Training / Program, Urban Farm","Rain collection system ( rain barrels, cisterns), Hose connected to private property",,"Compost System, Farm Stand, Seating Area, Play Area, Artwork / Sculptures, Teaching Area, Covered Area",,,10845 S Union Ave,Yes,,No,41.6970253,-87.6400893,10845 S Union Ave,,SEEDS,http://www.dunnetech.org/,,Yes,,34,ROSELAND,,,Chicago
Vedgewater,Yes,,"Allotment, Collective","Community Garden, Food Donation","City Fire Hydrant, Irrigation System",,"Compost System, Seating Area, Shed / Storage box, Artwork / Sculptures, Educational Signage","Cold Tunnel, Cloche",,6300 N Broadway St,Yes,,No,41.9964028,-87.6604879,6300 N Broadway St,Private,"Peterson Garden Project, Loyola University Chicago",www.petersongarden.org,https://www.facebook.com/PetersonGardenProject?ref=br_tf,Yes,,49,EDGEWATER,,,Chicago
Walk In Peace Garden,No,,,Community Garden,,,,,,11417 S Michigan Ave,No,,No,41.686497,-87.620512,11417 S Michigan Ave,,RCDC Roseland Community Development Corporation,,,No,,9,ROSELAND,,,Chicago
